tweet_id,airline,name,text,tweet_lotion
1000,Mars Air,irdin, What dhepburn said.,Savannah
1001,Mars Air,jnardino, plus you've added commercials to the experience... tacky.,Savannah
1002,Mars Air,yvonnalynn, I didn't today... Must mean I need to take another trip!,Lets Play
1003,Mars Air,jnardino," it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",Savannah
1004,Mars Air,jnardino, and it's a really big bad thing about it,Savannah
1005,Mars Air,jnardino," seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Savannah
1006,Mars Air,cjmcginnis," yes, nearly every time I fly VX this “ear worm” won’t go away :)",San Francisco 
1007,Mars Air,pilot," Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",Los Angeles
1008,Mars Air,dhepburn," Well, I didn't…but NOW I DO! :-D",San Diego
1009,Mars Air,YupitsTate," it was amazing, and arrived an hour early. You're too good to me.",Los Angeles
1010,Mars Air,idk_but_youtube, did you know that suicide is the second leading use of death among teens 10-24,Las Vegas
1011,Mars Air,HypermiLax, I &lt;3 pretty graphics. so much better than minimal iconography. :D,NYC
1012,Mars Air,HypermiLax, This is such a great deal! Already thinking about my 2nd trip to Australia &amp; I haven't even gone on my 1st trip yet! ;p,NYC
1013,Mars Air,mollanderson, virginmedia I'm flying your fabulous Seductive skies again! U take all the stress away from travel http://t.co/ahlXHhKiyn,Savannah
1014,Mars Air,sjespers, Thanks!,Philadelphia
1015,Mars Air,smartwatermelon, SFO-PDX schedule is still MIA.,Philadelphia
1016,Mars Air,ItzBrianHunty, So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin Ameri. 29DaysToGo,west covina
1017,Mars Air,heatherovieda,  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,this place lled NYC
1018,Mars Air,thebrandiray,I ❤️ flying . ☺️👍,Somewhere celebrating life. 
1019,Mars Air,JNLpierce, you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,Boston | Waltham
1020,Mars Air,MISSGJ, why are your first fares in May over three times more than other rriers when all seats are available to select???,Savannah
1021,Mars Air,DT_Les, I love this graphic. http://t.co/UT5GrRwAaA,Savannah
1022,Mars Air,ElvinaBeck, I love the hipster innovation. You are a feel good brand.,Los Angeles
1023,Mars Air,rjlynch21086, will you be making BOS&gt;LAS non stop permanently anytime soon?,Boston
1024,Mars Air,ayeevickiee, you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,San Francisco
1025,Mars Air,Leora13, status match program.  I applied and it's been three weeks.  lled and emailed with no response.,Savannah
1026,Mars Air,meredithjlynn, What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs fail,Savannah
1027,Mars Air,AdamSinger, do you miss me? Don't worry we'll be together very soon.,San Francisco
1028,Mars Air,blackjackpro911, amazing to me that we n't get any cold air from the vents. VX358 noair worstflightever roasted SFOtoBOS,San Mateo
